movie,title,genreName,grossNum,grossUnit,duration,pubDate
http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,action; sci-fi; илмӣ-тахаюллӣ,714421503.0,http://www.wikidata.org/entity/Q4917,136.0,2014-03-26T00:00:00Z
http://www.wikidata.org/entity/Q23781129,Captain Marvel,action; sci-fi; илмӣ-тахаюллӣ,1128462972.0,http://www.wikidata.org/entity/Q4917,124.0,2019-03-06T00:00:00Z
http://www.wikidata.org/entity/Q2937646,Captain Phillips,action,218791811.0,http://www.wikidata.org/entity/Q4917,134.0,2013-09-27T00:00:00Z
http://www.wikidata.org/entity/Q1601716,Captains of the Clouds,action,3428000.0,http://www.wikidata.org/entity/Q4917,113.0,1942-02-12T00:00:00Z
http://www.wikidata.org/entity/Q220910,Casino,heist,116112375.0,http://www.wikidata.org/entity/Q4917,178.0,1995-11-14T00:00:00Z
http://www.wikidata.org/entity/Q1048166,Casper,fantasy,287928194.0,http://www.wikidata.org/entity/Q4917,100.0,1995-05-26T00:00:00Z
http://www.wikidata.org/entity/Q208108,Catch Me If You Can,heist,352114312.0,http://www.wikidata.org/entity/Q4917,135.0,2002-12-16T00:00:00Z
http://www.wikidata.org/entity/Q58701890,Cats,fantasy,17090175.0,http://www.wikidata.org/entity/Q4917,110.0,2019-12-20T00:00:00Z
http://www.wikidata.org/entity/Q1051315,Cats & Dogs,action,200700000.0,http://www.wikidata.org/entity/Q4917,83.0,2001-07-04T00:00:00Z
http://www.wikidata.org/entity/Q115760,Catwoman,fantasy; action,82102379.0,http://www.wikidata.org/entity/Q4917,104.0,2004-07-19T00:00:00Z
http://www.wikidata.org/entity/Q19867575,Central Intelligence,action,217000000.0,http://www.wikidata.org/entity/Q4917,107.0,2016-06-10T00:00:00Z
http://www.wikidata.org/entity/Q19867575,Central Intelligence,action,217000000.0,http://www.wikidata.org/entity/Q4917,108.0,2016-06-10T00:00:00Z
http://www.wikidata.org/entity/Q19867575,Central Intelligence,action,217000000.0,http://www.wikidata.org/entity/Q4917,155.0,2016-06-10T00:00:00Z
http://www.wikidata.org/entity/Q218235,Charlie and the Chocolate Factory,fantasy; чёрная комедия,475000000.0,http://www.wikidata.org/entity/Q4917,115.0,2005-07-10T00:00:00Z
http://www.wikidata.org/entity/Q229599,Charlie's Angels,action,264100000.0,http://www.wikidata.org/entity/Q4917,98.0,2000-10-22T00:00:00Z
http://www.wikidata.org/entity/Q229603,Charlie's Angels: Full Throttle,action,259200000.0,http://www.wikidata.org/entity/Q4917,106.0,2003-07-10T00:00:00Z
http://www.wikidata.org/entity/Q221090,Children of Men,sci-fi; илмӣ-тахаюллӣ,70595464.0,http://www.wikidata.org/entity/Q4917,106.0,2006-09-03T00:00:00Z
http://www.wikidata.org/entity/Q15046091,Cinderella,fantasy,542351353.0,http://www.wikidata.org/entity/Q4917,105.0,2015-03-12T00:00:00Z
