,movie,title,genreName,grossNum,adjustedGross,grossUnit,duration,pubDate,pubMonth,pubYear
571,http://www.wikidata.org/entity/Q10307713,The Hunger Games: Mockingjay – Part 2,action; sci-fi; илмӣ-тахаюллӣ,653428261.0,847073037.7613636,http://www.wikidata.org/entity/Q4917,137.0,2015-11-18T00:00:00Z,11,2015
572,http://www.wikidata.org/entity/Q10307713,The Hunger Games: Mockingjay – Part 2,action; sci-fi; илмӣ-тахаюллӣ,661456563.0,857480543.1741202,http://www.wikidata.org/entity/Q4917,137.0,2015-11-18T00:00:00Z,11,2015
573,http://www.wikidata.org/entity/Q507994,The Hunt for Red October,action,200512643.0,479346739.5839394,http://www.wikidata.org/entity/Q4917,129.0,1990-03-02T00:00:00Z,3,1990
574,http://www.wikidata.org/entity/Q178966,The Invention of Lying,fantasy,32406507.0,46122124.07053942,http://www.wikidata.org/entity/Q4917,100.0,2009-10-02T00:00:00Z,10,2009
575,http://www.wikidata.org/entity/Q867283,The Iron Giant,fantasy; action; sci-fi; илмӣ-тахаюллӣ,23335817.0,43069910.93105579,http://www.wikidata.org/entity/Q4917,86.0,1999-07-31T00:00:00Z,7,1999
576,http://www.wikidata.org/entity/Q759420,The Jewel of the Nile,action,96773200.0,272409032.17932296,http://www.wikidata.org/entity/Q4917,106.0,1985-12-11T00:00:00Z,12,1985
577,http://www.wikidata.org/entity/Q11593,The Last Airbender,fantasy; action,319700000.0,451180989.49135596,http://www.wikidata.org/entity/Q4917,99.0,2010-07-29T00:00:00Z,7,2010
578,http://www.wikidata.org/entity/Q1218847,The Last Castle,action,27642707.0,47860772.68090602,http://www.wikidata.org/entity/Q4917,126.0,2001-10-19T00:00:00Z,10,2001
579,http://www.wikidata.org/entity/Q207130,The Last Samurai,action,456758981.0,761688305.9254797,http://www.wikidata.org/entity/Q4917,154.0,2003-11-22T00:00:00Z,11,2003
580,http://www.wikidata.org/entity/Q17361809,The Legend of Tarzan,action,356700000.0,455344603.72254354,http://www.wikidata.org/entity/Q4917,109.0,2016-06-30T00:00:00Z,6,2016
581,http://www.wikidata.org/entity/Q55402791,The Lighthouse,fantasy; Horror; горор,18178770.0,21733698.385325592,http://www.wikidata.org/entity/Q4917,109.0,2019-10-05T00:00:00Z,10,2019
582,http://www.wikidata.org/entity/Q272064,The Living Daylights,action,191199996.0,518296863.1657797,http://www.wikidata.org/entity/Q4917,130.0,1987-06-27T00:00:00Z,6,1987
583,http://www.wikidata.org/entity/Q468484,The Longest Day,action,50000000.0,506037828.94736844,http://www.wikidata.org/entity/Q4917,180.0,1962-09-25T00:00:00Z,9,1962
584,http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,fantasy; action,883726270.0,1538748982.5533109,http://www.wikidata.org/entity/Q4917,171.0,2001-12-19T00:00:00Z,12,2001
585,http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,fantasy; action,883726270.0,1538748982.5533109,http://www.wikidata.org/entity/Q4917,178.0,2001-12-19T00:00:00Z,12,2001
586,http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,fantasy; action,883726270.0,1538748982.5533109,http://www.wikidata.org/entity/Q4917,208.0,2001-12-19T00:00:00Z,12,2001
587,http://www.wikidata.org/entity/Q127367,The Lord of the Rings: The Fellowship of the Ring,fantasy; action,883726270.0,1538748982.5533109,http://www.wikidata.org/entity/Q4917,228.0,2001-12-19T00:00:00Z,12,2001
588,http://www.wikidata.org/entity/Q131074,The Lord of the Rings: The Return of the King,fantasy; action,1140682011.0,1904258138.9385836,http://www.wikidata.org/entity/Q4917,201.0,2003-12-01T00:00:00Z,12,2003
