"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/10_Minutes_(2002_film)","10 Minutes (2002 film)",,,0
"http://dbpedia.org/resource/10_Minutes_(2002_film)","10 Minutes",,,0
"http://dbpedia.org/resource/10_Minutes_(2002_film)","10분 (2002년 영화)",,,0
"http://dbpedia.org/resource/10_Things_I_Hate_About_Life","10 Things I Hate About Life",,,0
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 رجلا غاضبا",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Dotze homes sense pietat",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Dvanáct rozhněvaných mužů (film, 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Die zwölf Geschworenen (1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Οι 12 ένορκοι (ταινία, 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men (1957 film)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men (película de 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men (1957ko filma)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men (film 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Douze Hommes en colère (film)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","La parola ai giurati (film 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","十二人の怒れる男",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12인의 성난 사람들 (1957년 영화)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men (1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","Dwunastu gniewnych ludzi",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 Angry Men",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 edsvurna män",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 разгневанных мужчин (фильм, 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","12 розгніваних чоловіків (фільм, 1957)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Angry_Men_(1957_film)","十二怒漢 (電影)",,"2000000.0",2200000
"http://dbpedia.org/resource/12_Hours","12 Hours",,,0
"http://dbpedia.org/resource/12_O'Clock_Boys","12 O'Clock Boys",,,0
"http://dbpedia.org/resource/12_O'Clock_Boys","12 O'Clock Boys",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 جولة 3: تأمين (فيلم)",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 Rounds 3: Lockdown",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 Rounds 3: Lockdown",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 Rounds 3: Lockdown",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 Rounds 3: Lockdown",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 라운드 3: 락다운",,,0
"http://dbpedia.org/resource/12_Rounds_3:_Lockdown","12 Rounds 3: Lockdown",,,0
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","عبد لاثني عشر عاما (فيلم)",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 anys d'esclavitud",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 let v řetězech",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 χρόνια σκλάβος",,"1.877E8",206470000
"http://dbpedia.org/resource/12_Years_a_Slave_(film)","12 Years a Slave (film)",,"1.877E8",206470000
